ID,LEGUMES,IMAGE,IMAGE2,IMAGE3,DÉFINITION,À ASSOCIER,NE PAS ASSOCIER
1,AIL,../,images/Potager-all légumes/01-Ail.png,../images/Potager-all légumes/01-Ail.png,"Alliciée originaire d'Asie, cultivé depuis des siècles et consommé pour ses vertus stimulantes.Plante riche en sels minéraux qui aime les sols légers, sablonneux et peu humide.Exposition ensoleillée","carotte, concombre, oignon, fraisier, tomate, épinard, omme de terre, navet","chou, haricot"
2,ARTICHAUT,../,images/Potager-all légumes/02-Artichaut.png,../images/Potager-all légumes/02-Artichaut.png,"Plante vivace d'origine méditérranéenne qui craint le gel et l'excès d'humidité.Aime les sols limoneux,frais,profonds et bien drainants.","Betterave, Chou, haricot, laitue, poireau, tomate","Estragon, persil, petit-pois, salsifis"
3,ASPERGE,../,images/Potager-all légumes/03-Asperge.png,../images/Potager-all légumes/03-Asperge.png,"Plante vivace de culture très ancienne originaire d'Europe et d'Asie.L'asperge est très riche en fibres, contient de nombreux sels minéraux, de la vitamine C ainsi que du carotène.Aime les sols légers, sablonneux et drainés.","persil, poireau, tomate","ail, chou, échalote, oignon, poirée"
4,AUBERGINE,../,images/Potager-all légumes/05-Aubergine.png,../images/Potager-all légumes/05-Aubergine.png,"L'aubergine est un légume très ancien originaire d'Inde. Sa culture nécessite beaucoup de chaleur( minimum 15°) car elle est rès frileuse.Riche en vitamine B et sels minéraux, elle aime les sols profonds, humifères et drainés.Exposition ensoleillée et abritée.","haricot, tomate, pois, piment, thym, persil, estragon","oignon, pomme de terre"
5,BETTE,../,images/Potager-all légumes/05-Bette1.png,../images/Potager-all légumes/05-Bette1.png,"Plante originaire de Méditérrannée connue depuis l'Antiquité dont la consommation au Moyen-âge fut très importante en Europe. La bette est une très proche cousine de la betterave.Elle aime les sols frais, humifères et drainés.Exposition ensoleillée.",carotte,"betterave, épinard"
6,BETTERAVE,../,images/Potager-all légumes/06-Betterave.png,betterave rouge,"La betterave potagère aussi appelée betterave rouge est originaire d'Europe du sud et fut très consommée par les Romains.Elle se consomme rapée crue en salade ou cuite.Ses feuilles, riches en vitamine A se consomment comme les épinards.elle aime les sols légers, sablonneux et drainés. Exposition ensoleillée.","céleri, chou, laitue, haricot, oignon, radis","épinard, bette"
7,BLETTE,../,images/Potager-all légumes/07-Blette.png,../images/Potager-all légumes/07-Blette.png,,"carotte, chou-rave, navet, radis, haricot nain",épinard
8,BROCOLI,../,images/Potager-all légumes/08-Brocoli.png,../images/Potager-all légumes/08-Brocoli.png,"Le brocoli est une variété horticole d'un chou d'origine italienne.Le mot brocoli vient de ""brocco"" qui signifie ""pousse"" en italien.De culture très ancienne, les Romains le connaissaient déjà, c'est seulement vers le 16ème siècle qu'il se répand réellement.Riche en vitamien C et sels minéraux.Aime les sols frais et drainés.Exposition mi ombre à ensoleillée.","concombres, pommes de terre, céleri, betteraves, menthe romarin","fraisiers, radis, tomates"
9,CAROTTE,../,images/Potager-all légumes/09-Carotte.png,../images/Potager-all légumes/09-Carotte.png,"La carotte est principalement originaire du bassin méditérranéen.Cultivées depuis des siècles les carottes étaient à l'origine blanches, jaunes ou violettes.La carotte renferme une grande quantité de vitamines, sels minéraux, d'oligoélémnets ainsi que des caroténoides.Aime les sols légers, humifères, sablonneux et drainés.Exposition mi ombre à ensoleillée.","ail, aneth, endive haricot, laitue, oignon, petit pois, oireau radis salade tomate ciboulette","betterave, menthe"
10,CÉLERI,../,images/Potager-all légumes/10-Céleri.png,../images/Potager-all légumes/10-Céleri.png,,"choux, épinard, haricot, poireau, pois, tomate","salade, pomme de terre"
11,CHOU,../,images/Potager-all légumes/11-Chou.png,../images/Potager-all légumes/11-Chou.png,,"betterave, haricot, laitue, petit pois, salade, tomate","autres variétés de chou, ail"
12,CHOU-FLEUR,../,images/Potager-all légumes/12-Chou-fleur.png,../images/Potager-all légumes/12-Chou-fleur.png,,"céleri, tomate, oignon, salade",chou
13,CONCOMBRE,../,images/Potager-all légumes/13-Concombre.png,../images/Potager-all légumes/13-Concombre.png,,"aneth, chou, haricot, laitue, oignon",radis
14,COURGE,../,images/Potager-all légumes/14-Courge.png,../images/Potager-all légumes/14-Courge.png,,"haricot, laitue, maïs, navet",pois
15,COURGETTE,../,images/Potager-all légumes/15 Courgette.png,../images/Potager-all légumes/15 Courgette.png,,"ciboulette, échalote, haricot, oignon, petit pois",concombre
16,CORNICHON,../,images/Potager-all légumes/16-Cornichon.png,../images/Potager-all légumes/16-Cornichon.png,,"basilic, chou, haricot, laitue, œillet d'Inde, oignon, pois","melon, pomme de terre, tomate"
17,ENDIVE,../,images/Potager-all légumes/17-Endive.png,../images/Potager-all légumes/17-Endive.png,,"Carotte, navet, poireau, radis","artichaut, estragon, laitue, salsifis, topinambour"
18,ÉPINARD,../,images/Potager-all légumes/18-épinard.png,../images/Potager-all légumes/18-épinard.png,,"haricot, petit pois, fraisier, chou, radis, salade, tomate",betterave rouge
19,FENOUIL,../,images/Potager-all légumes/19-Fenouil.png,../images/Potager-all légumes/19-Fenouil.png,,"céleri, navet, poireau","chou, tomate"
20,FÈVE,../,images/Potager-all légumes/20-Fève.png,../images/Potager-all légumes/20-Fève.png,,"tomate, fraise, courge","ail, ciboulette"
21,FRAISIER,../,images/Potager-all légumes/21-Fraisier.png,../images/Potager-all légumes/21-Fraisier.png,,"ail, laitue, oignon, poireau, échalote, persil, sauge",chou
22,HARICOT,../,images/Potager-all légumes/22-Haricot.png,../images/Potager-all légumes/22-Haricot.png,,"carotte, chou, fraisier, laitue, aubergine, céleri, courgette, poireau, radis, pomme de terre","ail, oignon, pois, poireau"
23,LAITUE,../,images/Potager-all légumes/23-Laitue.png,../images/Potager-all légumes/23-Laitue.png,,"betterave, carotte, cerfeuil, chou, concombre/cornichon, fraisier haricot radis",tournesol
24,MÂCHE,../,images/Potager-all légumes/24-Mâche.png,../images/Potager-all légumes/24-Mâche.png,,"ail, basilic, haricot, pois, radis","chou, épinard, salade"
25,MAIS,../,images/Potager-all légumes/25-Maïs.png,../images/Potager-all légumes/25-Maïs.png,,"concombre, courge, courgette",betterave
26,MELON,../,images/Potager-all légumes/26-Melon.png,../images/Potager-all légumes/26-Melon.png,,"maïs, tournesol, potiron",concombre
27,NAVET,../,images/Potager-all légumes/27-Navet.png,../images/Potager-all légumes/27-Navet.png,,"ail, céleri, ciboulette, épinard, petit pois",radis
28,OIGNON,../,images/Potager-all légumes/28-Oignon.png,../images/Potager-all légumes/28-Oignon.png,,"aneth, ail, carotte, concombre, salade, tomate","haricot, petit pois, poireau, chou, fève"
29,PANAIS,../,images/Potager-all légumes/29-Panais.png,../images/Potager-all légumes/29-Panais.png,,"Ail, laitue, navet, oignon, petit-pois, radis, salsifis, tomate","Aneth, bette, carotte, céleri, fenouil, persil, pomme de terre"
30,PETIT-POIS,../,images/Potager-all légumes/30-petit-pois.png,../images/Potager-all légumes/30-petit-pois.png,,"carotte, épinard, radis, chou, mâche, pomme de terre","ail, échalote, oignon, tomate"
31,PIMENT,../,images/Potager-all légumes/31-Piment.png,../images/Potager-all légumes/31-Piment.png,,"basilic, carotte, oignon",fenouil
32,POIREAU,../,images/Potager-all légumes/32-Poireau.png,../images/Potager-all légumes/32-Poireau.png,,"carotte, fraisier, épinard, tomate","haricot, pois"
33,POMME DE TERRE,../,images/Potager-all légumes/33-pomme de terre.png,../images/Potager-all légumes/33-pomme de terre.png,,"ail, haricot, pois","aubergine, courgette, radis, tomate"
34,RADIS,../,images/Potager-all légumes/34-Radis.png,../images/Potager-all légumes/34-Radis.png,,"carotte, fraisier, haricot, salade, tomate, cresson","cerfeuil, concombre"
35,SALADE,../,images/Potager-all légumes/35-Salade.png,../images/Potager-all légumes/35-Salade.png,,"aneth, betterave, concombre, chou, épinard, haricot, etit ois, radis, tomate","persil, tournesol"
36,TOMATE,../,images/Potager-all légumes/36-tomates.png,../images/Potager-all légumes/36-tomates.png,,"carotte, chou, épinard, oignon, persil, poireau, salade, basilic","betterave, chou rouge, fenouil, pois"
